change;rig;diff;diff_to_initial;model_instance
{'add': ['feature4']};0.02295677100152238;0.043583691708955596;0.043583691708955596;6
{'add': ['feature13']};0.02279816293903958;0.043425083646472795;0.043425083646472795;15
{'add': ['feature24']};0.022794188472709642;0.04342110918014286;0.04342110918014286;26
{'add': ['feature31']};0.022452062816719187;0.0430789835241524;0.0430789835241524;33
{'add': ['feature25']};0.022160732335138822;0.04278765304257204;0.04278765304257204;27
{'add': ['feature61']};0.021789022594851604;0.04241594330228482;0.04241594330228482;63
{'add': ['feature45']};0.021627706489405707;0.04225462719683892;0.04225462719683892;47
{'add': ['feature53']};0.021127242770081267;0.04175416347751448;0.04175416347751448;55
{'add': ['feature63']};0.020395058144093148;0.041021978851526364;0.041021978851526364;65
{'add': ['feature30']};0.01997311840067373;0.040600039108106944;0.040600039108106944;32
{'add': ['feature58']};0.019702721796739375;0.04032964250417259;0.04032964250417259;60
{'add': ['feature64']};0.01949252103876653;0.04011944174619975;0.04011944174619975;66
{'add': ['feature29']};0.019238620404941287;0.0398655411123745;0.0398655411123745;31
{'add': ['feature57']};0.018380617835753954;0.03900753854318717;0.03900753854318717;59
{'add': ['feature60']};-0.012791124298988432;0.007835796408444784;0.007835796408444784;62
{'add': ['feature33']};-0.013038158775750652;0.007588761931682564;0.007588761931682564;35
{};-0.020626920707433216;0;0;1
