change,rig
0,0.740219693124285
1,0.7482157434027426
10,0.7591760245931449
11,0.7497288065731068
12,0.7630965703420658
13,0.7427570789878242
14,0.7398538595553447
15,0.7511572774234834
16,0.7527907473991152
17,0.7397455603625718
18,0.7414596533210673
19,0.7518790783298727
2,0.7442219817036947
20,0.7451055228139397
21,0.7545568617178409
22,0.7446947388856076
23,0.7630965703420658
24,0.7413285124038916
25,0.7397715619033248
26,0.745982146063207
27,0.7413125485237504
28,0.7409928714640213
29,0.7398945117772309
3,0.7407204394361352
30,0.7397478879222169
31,0.7398259822928793
32,0.7406614460658835
33,0.7420741460426377
34,0.7397542481507031
35,0.7398149676064228
36,0.7409122713817543
37,0.7404759320914054
38,0.7397911667568189
39,0.7398311419809458
4,0.7400899681872178
40,0.7465437624231778
41,0.7437151190470668
42,0.7416389574918952
43,0.7398640586217025
44,0.7401421214576224
45,0.7421116691965605
46,0.7473122619096167
47,0.7398255798492788
48,0.739763749617646
49,0.7504051366529859
5,0.7402076517493669
50,0.7406678290436809
51,0.7487959456737268
52,0.7402983813013718
53,0.7397467555464361
54,0.7418201158140688
55,0.7398318019385519
56,0.7399042599923527
57,0.7400278011392583
58,0.7430916637488464
59,0.7454765239542273
6,0.7401158979913097
60,0.7424347830488216
61,0.7410462548087852
62,0.7433898601350858
63,0.7425436261813821
64,0.7397896384954684
65,0.7399270768282085
66,0.7398394491350072
67,0.7404102051093394
68,0.7398791956109227
69,0.7397690010222853
7,0.7408482271725875
70,0.7404245036314873
71,0.741525242175239
72,0.7400101343688174
73,0.741273784631634
74,0.7410383260531772
75,0.7413439555370833
76,0.7399856799601519
77,0.7412384394221797
78,0.7401597633133032
79,0.7400372243957107
8,0.7402413986403668
80,0.74062669822008
81,0.7406130432516354
82,0.7408338229499076
83,0.7405479862026151
84,0.7418126511625414
85,0.7411288453437181
86,0.7411847838270719
87,0.7402809403673446
88,0.7407051844053191
89,0.741479414431251
9,0.7416840004325457
90,0.7411251482057523
91,0.7400551572459867
92,0.7409970707039127
93,0.7409283116599235
94,0.7408007754187751
95,0.7406958313294294
96,0.7405127655372188
97,0.7403408384553252
98,0.94
99,0.94
